period,block_code,year,month,cases,is_covid,is_complete,temp,humidity,rainfall,temp_lag1,temp_lag2,humidity_lag1,humidity_lag2,rainfall_lag1,rainfall_lag2
2024-06,J20-J22,2024,6,62,False,1,28.41,82.07,255.2,29.93,30.87,76.71,66.1,213,4.4
2024-07,J20-J22,2024,7,95,False,1,27.09,86.23,359.9,28.41,29.93,82.07,76.71,255.2,213
2024-08,J20-J22,2024,8,99,False,1,27.84,83.68,280.5,27.09,28.41,86.23,82.07,359.9,255.2
2024-09,J20-J22,2024,9,58,False,1,27.03,86.9,404.5,27.84,27.09,83.68,86.23,280.5,359.9
2024-10,J20-J22,2024,10,76,False,1,26.8,86.29,345,27.03,27.84,86.9,83.68,404.5,280.5
2024-11,J20-J22,2024,11,36,False,1,27.69,78.83,76.4,26.8,27.03,86.29,86.9,345,404.5
2024-12,J20-J22,2024,12,21,False,1,26.28,80.65,126.5,27.69,26.8,78.83,86.29,76.4,345
2025-01,J20-J22,2025,1,32,False,1,26.34,70.9,26.2,26.28,27.69,80.65,78.83,126.5,76.4
2025-02,J20-J22,2025,2,37,False,1,27.31,71.82,49.2,26.34,26.28,70.9,80.65,26.2,126.5
2025-03,J20-J22,2025,3,25,False,1,28.74,68.03,20.7,27.31,26.34,71.82,70.9,49.2,26.2
2025-04,J20-J22,2025,4,32,False,1,29.07,73.4,60.7,28.74,27.31,68.03,71.82,20.7,49.2
2025-05,J20-J22,2025,5,34,False,1,28.37,81.58,316.8,29.07,28.74,73.4,68.03,60.7,20.7
2025-06,J20-J22,2025,6,39,False,1,27.36,86.13,330.3,28.37,29.07,81.58,73.4,316.8,60.7
2025-07,J20-J22,2025,7,20,False,1,27.48,84.65,315.6,27.36,28.37,86.13,81.58,330.3,316.8
2025-08,J20-J22,2025,8,57,False,1,27.07,85.32,453.2,27.48,27.36,84.65,86.13,315.6,330.3
2025-09,J20-J22,2025,9,79,False,1,26.6,87.67,470.9,27.07,27.48,85.32,84.65,453.2,315.6
2025-10,J20-J22,2025,10,109,False,1,27.1,85.65,275.9,26.6,27.07,87.67,85.32,470.9,453.2
2025-11,J20-J22,2025,11,66,False,1,26.33,82.73,216.3,27.1,26.6,85.65,87.67,275.9,470.9
2025-12,J20-J22,2025,12,39,False,1,26.98,77.29,151.9,26.33,27.1,82.73,85.65,216.3,275.9
2026-01,J20-J22,2026,1,30,False,1,26.14,67.23,17,26.98,26.33,77.29,82.73,151.9,216.3
2026-02,J20-J22,2026,2,31,False,1,27.65,68.46,55.3,26.14,26.98,67.23,77.29,17,151.9
2026-03,J20-J22,2026,3,48,False,1,27.83,71.35,19.1,27.65,26.14,68.46,67.23,55.3,17
2026-04,J20-J22,2026,4,41,False,1,29.93,66.13,6.8,27.83,27.65,71.35,68.46,19.1,55.3
2026-05,J20-J22,2026,5,34,False,1,30.09,72,124.1,29.93,27.83,66.13,71.35,6.8,19.1
2026-06,J20-J22,2026,6,29,False,1,28.5,82.3,208.3,30.09,29.93,72,66.13,124.1,6.8
2026-07,J20-J22,2026,7,42,False,1,27.8,82.48,239.7,28.5,30.09,82.3,72,208.3,124.1
2026-08,J20-J22,2026,8,24,False,1,28,80.94,210.3,27.8,28.5,82.48,82.3,239.7,208.3
2026-09,J20-J22,2026,9,13,False,0,26.51,85.76,242.9,28,27.8,80.94,82.48,210.3,239.7
